ident,iata,municipality,lat,lon
EDDN,NUE,Nuremberg,49.4987,11.0780
EDDP,LEJ,Leipzig,51.4239,12.2364
EDDC,DRS,Dresden,51.1328,13.7672
EDDR,SCN,Saarbrucken,49.2146,7.1095
EDDW,BRE,Bremen,53.0475,8.7867
LSZH,ZRH,Zurich,47.4647,8.5492
LSGG,GVA,Geneva,46.2381,6.1090
LSZB,BRN,Bern,46.9141,7.4971
LSZA,LUG,Lugano,46.0043,8.9106
LOWW,VIE,Vienna,48.1103,16.5697
LOWS,SZG,Salzburg,47.7933,13.0043
LOWI,INN,Innsbruck,47.2602,11.3440
LOWG,GRZ,Graz,46.9911,15.4396
LOWL,LNZ,Linz,48.2332,14.1875
LIRF,FCO,Rome,41.8003,12.2389
LIRA,CIA,Rome,41.7994,12.5949
LIMC,MXP,Milan,45.6306,8.7281
LIML,LIN,Milan,45.4451,9.2767
LIME,BGY,Bergamo,45.6739,9.7042
LIPZ,VCE,Venice,45.5053,12.3519
LIPE,BLQ,Bologna,44.5354,11.2887
LIRN,NAP,Naples,40.8860,14.2908
LICC,CTA,Catania,37.4668,15.0664
LICJ,PMO,Palermo,38.1760,13.0910
LIEE,CAG,Cagliari,39.2515,9.0543
LIRP,PSA,Pisa,43.6839,10.3927
LIPX,VRN,Verona,45.3957,10.8885
LEMD,MAD,Madrid,40.4719,-3.5626
LEBL,BCN,Barcelona,41.2971,2.0785
LEPA,PMI,Palma de Mallorca,39.5517,2.7388
LEAL,ALC,Alicante,38.2822,-0.5582
LEMG,AGP,Malaga,36.6749,-4.4991
LEZL,SVQ,Seville,37.4180,-5.8931
LEVC,VLC,Valencia,39.4893,-0.4816
LEBB,BIO,Bilbao,43.3011,-2.9106
LEIB,IBZ,Ibiza,38.8729,1.3731
LEST,SCQ,Santiago de Compostela,42.8963,-8.4151
GCLP,LPA,Las Palmas,27.9319,-15.3866
GCTS,TFS,Tenerife,28.0445,-16.5725
GCXO,TFN,Tenerife,28.4827,-16.3415
GCRR,ACE,Lanzarote,28.9455,-13.6052
GCFV,FUE,Fuerteventura,28.4527,-13.8638
LPPT,LIS,Lisbon,38.7813,-9.1359
LPPR,OPO,Porto,41.2481,-8.6814
LPFR,FAO,Faro,37.0144,-7.9659
LPMA,FNC,Funchal,32.6979,-16.7745
LPPD,PDL,Ponta Delgada,37.7412,-25.6979
EKCH,CPH,Copenhagen,55.6180,12.6560
EKBI,BLL,Billund,55.7403,9.1518
EKAH,AAR,Aarhus,56.3000,10.6190
ESSA,ARN,Stockholm,59.6519,17.9186
ESGG,GOT,Gothenburg,57.6628,12.2798
ESMS,MMX,Malmo,55.5363,13.3762
ESSB,BMA,Stockholm,59.3544,17.9416
ENGM,OSL,Oslo,60.1939,11.1004
ENBR,BGO,Bergen,60.2934,5.2181
ENVA,TRD,Trondheim,63.4576,10.9240
ENZV,SVG,Stavanger,58.8767,5.6378
ENTC,TOS,Tromso,69.6833,18.9189
EFHK,HEL,Helsinki,60.3172,24.9633
EFTP,TMP,Tampere,61.4141,23.6044
EFOU,OUL,Oulu,64.9301,25.3546
BIKF,KEF,Reykjavik,63.9850,-22.6056
BIRK,RKV,Reykjavik,64.1300,-21.9406
EPWA,WAW,Warsaw,52.1657,20.9671
EPMO,WMI,Warsaw,52.4511,20.6518
EPKK,KRK,Krakow,50.0777,19.7848
EPGD,GDN,Gdansk,54.3776,18.4662
EPWR,WRO,Wroclaw,51.1027,16.8858
EPPO,POZ,Poznan,52.4210,16.8263
EPKT,KTW,Katowice,50.4743,19.0800
LKPR,PRG,Prague,50.1008,14.2600
LKTB,BRQ,Brno,49.1513,16.6944
LZIB,BTS,Bratislava,48.1702,17.2127
LZKZ,KSC,Kosice,48.6631,21.2411
LHBP,BUD,Budapest,47.4369,19.2556
LJLJ,LJU,Ljubljana,46.2237,14.4576
LDZA,ZAG,Zagreb,45.7429,16.0688
LDSP,SPU,Split,43.5389,16.2980
LDDU,DBV,Dubrovnik,42.5614,18.2682
LYBE,BEG,Belgrade,44.8184,20.3091
LBSF,SOF,Sofia,42.6967,23.4114
LBWN,VAR,Varna,43.2321,27.8251
LROP,OTP,Bucharest,44.5711,26.0850
LRCL,CLJ,Cluj-Napoca,46.7852,23.6862
LRTR,TSR,Timisoara,45.8099,21.3379
LGAV,ATH,Athens,37.9364,23.9445
LGTS,SKG,Thessaloniki,40.5197,22.9709
LGIR,HER,Heraklion,35.3397,25.1803
LGRP,RHO,Rhodes,36.4054,28.0862
LGKR,CFU,Corfu,39.6019,19.9117
LGSA,CHQ,Chania,35.5317,24.1497
LCLK,LCA,Larnaca,34.8751,33.6249
LCPH,PFO,Paphos,34.7180,32.4857
LMML,MLA,Luqa,35.8575,14.4775
LTBA,ISL,Istanbul,40.9769,28.8146
LTFM,IST,Istanbul,41.2753,28.7519
LTFJ,SAW,Istanbul,40.8986,29.3092
LTAI,AYT,Antalya,36.8987,30.8005
LTBJ,ADB,Izmir,38.2924,27.1570
LTAC,ESB,Ankara,40.1281,32.9951
UUEE,SVO,Moscow,55.9726,37.4146
UUDD,DME,Moscow,55.4088,37.9063
UUWW,VKO,Moscow,55.5915,37.2615
ULLI,LED,Saint Petersburg,59.8003,30.2625
UKBB,KBP,Kyiv,50.3450,30.8947
UMMS,MSQ,Minsk,53.8825,28.0307
EVRA,RIX,Riga,56.9236,23.9711
EYVI,VNO,Vilnius,54.6341,25.2858
EETN,TLL,Tallinn,59.4133,24.8328
LFSB,BSL,Basel,47.5896,7.5299
KJFK,JFK,New York,40.6398,-73.7789
KEWR,EWR,Newark,40.6925,-74.1687
KLGA,LGA,New York,40.7772,-73.8726
KBOS,BOS,Boston,42.3643,-71.0052
KORD,ORD,Chicago,41.9786,-87.9048
KATL,ATL,Atlanta,33.6367,-84.4281
KLAX,LAX,Los Angeles,33.9425,-118.4081
KSFO,SFO,San Francisco,37.6190,-122.3750
KIAD,IAD,Washington,38.9445,-77.4558
KDFW,DFW,Dallas,32.8968,-97.0380
KMIA,MIA,Miami,25.7932,-80.2906
KSEA,SEA,Seattle,47.4490,-122.3093
KPHL,PHL,Philadelphia,39.8719,-75.2411
KMCO,MCO,Orlando,28.4294,-81.3089
KIAH,IAH,Houston,29.9844,-95.3414
KDEN,DEN,Denver,39.8617,-104.6732
KLAS,LAS,Las Vegas,36.0801,-115.1522
KCLT,CLT,Charlotte,35.2140,-80.9431
CYYZ,YYZ,Toronto,43.6772,-79.6306
CYUL,YUL,Montreal,45.4706,-73.7408
CYVR,YVR,Vancouver,49.1939,-123.1844
CYYC,YYC,Calgary,51.1139,-114.0203
CYOW,YOW,Ottawa,45.3225,-75.6692
OMDB,DXB,Dubai,25.2528,55.3644
OMAA,AUH,Abu Dhabi,24.4330,54.6511
OTHH,DOH,Doha,25.2731,51.6081
OKBK,KWI,Kuwait City,29.2266,47.9689
OBBI,BAH,Manama,26.2708,50.6336
OEJN,JED,Jeddah,21.6796,39.1565
OERK,RUH,Riyadh,24.9576,46.6988
LLBG,TLV,Tel Aviv,32.0114,34.8867
HECA,CAI,Cairo,30.1219,31.4056
GMMN,CMN,Casablanca,33.3675,-7.5900
GMMX,RAK,Marrakesh,31.6069,-8.0363
DTTA,TUN,Tunis,36.8510,10.2272
DAAG,ALG,Algiers,36.6910,3.2154
FAOR,JNB,Johannesburg,-26.1392,28.2460
FACT,CPT,Cape Town,-33.9648,18.6017
HAAB,ADD,Addis Ababa,8.9779,38.7993
HKJK,NBO,Nairobi,-1.3192,36.9278
VIDP,DEL,Delhi,28.5665,77.1031
VABB,BOM,Mumbai,19.0887,72.8679
VHHH,HKG,Hong Kong,22.3080,113.9185
ZBAA,PEK,Beijing,40.0801,116.5846
ZBAD,PKX,Beijing,39.5098,116.4105
ZSPD,PVG,Shanghai,31.1434,121.8052
ZGGG,CAN,Guangzhou,23.3924,113.2988
RJTT,HND,Tokyo,35.5523,139.7798
RJAA,NRT,Tokyo,35.7647,140.3863
RKSI,ICN,Seoul,37.4691,126.4505
WSSS,SIN,Singapore,1.3502,103.9944
WMKK,KUL,Kuala Lumpur,2.7456,101.7099
VTBS,BKK,Bangkok,13.6811,100.7473
YSSY,SYD,Sydney,-33.9461,151.1772
YMML,MEL,Melbourne,-37.6733,144.8433
YBBN,BNE,Brisbane,-27.3842,153.1175
NZAA,AKL,Auckland,-37.0081,174.7917
SBGR,GRU,Sao Paulo,-23.4356,-46.4731
SAEZ,EZE,Buenos Aires,-34.8222,-58.5358
SCEL,SCL,Santiago,-33.3930,-70.7858
MMMX,MEX,Mexico City,19.4363,-99.0721
